video-id,t-start,t-end,label
video_validation_0000365,18.100000,24.300000,HighJump
video_validation_0000365,29.600000,33.300000,HighJump
video_validation_0000365,69.700000,77.300000,HighJump
video_validation_0000365,80.800000,84.300000,HighJump
video_validation_0000365,110.400000,116.200000,HighJump
video_validation_0000365,145.300000,151.200000,HighJump
video_validation_0000365,192.900000,198.500000,HighJump
video_validation_0000365,213.000000,219.900000,HighJump
video_validation_0000931,31.400000,34.000000,TennisSwing
video_validation_0000931,34.500000,37.100000,TennisSwing
video_validation_0000931,38.800000,40.500000,TennisSwing
video_validation_0000931,57.500000,59.200000,TennisSwing
video_validation_0000931,61.600000,64.400000,TennisSwing
video_validation_0000931,65.400000,67.100000,TennisSwing
video_validation_0000369,160.900000,168.000000,HighJump
video_validation_0000369,171.800000,178.200000,HighJump
video_validation_0000369,218.200000,225.600000,HighJump
video_validation_0000369,230.000000,236.000000,HighJump
video_validation_0000369,258.000000,262.400000,HighJump
video_validation_0000369,267.300000,269.900000,HighJump
video_validation_0000369,288.900000,292.500000,HighJump
video_validation_0000369,299.100000,304.600000,HighJump
video_validation_0000369,305.200000,307.600000,HighJump
video_validation_0000369,335.100000,342.300000,HighJump
video_validation_0000369,349.100000,355.200000,HighJump
video_validation_0000369,393.600000,396.900000,HighJump
video_validation_0000369,402.000000,407.800000,HighJump
video_validation_0000369,420.700000,425.500000,HighJump
video_validation_0000369,430.200000,433.500000,HighJump
video_validation_0000369,434.700000,437.400000,HighJump
video_validation_0000369,457.900000,462.700000,HighJump
video_validation_0000369,470.600000,474.500000,HighJump
video_validation_0000369,506.300000,511.200000,HighJump
video_validation_0000369,518.800000,522.200000,HighJump
video_validation_0000369,553.400000,557.300000,HighJump
video_validation_0000369,566.100000,571.400000,HighJump
video_validation_0000369,606.700000,612.000000,HighJump
video_validation_0000369,624.300000,628.400000,HighJump
video_validation_0000369,668.000000,673.900000,HighJump
video_validation_0000369,679.000000,681.600000,HighJump
video_validation_0000369,741.100000,745.600000,HighJump
video_validation_0000369,752.900000,756.600000,HighJump
video_validation_0000369,756.900000,759.600000,HighJump
video_validation_0000282,7.700000,15.500000,GolfSwing
video_validation_0000282,29.300000,32.400000,GolfSwing
video_validation_0000282,32.800000,35.800000,GolfSwing
video_validation_0000176,0.300000,1.100000,CricketBowling
video_validation_0000176,4.000000,4.700000,CricketBowling
video_validation_0000176,6.700000,7.500000,CricketBowling
video_validation_0000176,10.100000,11.100000,CricketBowling
video_validation_0000176,12.900000,13.800000,CricketBowling
video_validation_0000176,16.400000,17.000000,CricketBowling
video_validation_0000176,19.700000,20.400000,CricketBowling
video_validation_0000176,22.100000,23.300000,CricketBowling
video_validation_0000176,24.700000,25.700000,CricketBowling
video_validation_0000176,28.800000,29.800000,CricketBowling
video_validation_0000176,32.500000,33.500000,CricketBowling
video_validation_0000176,35.400000,36.600000,CricketBowling
video_validation_0000176,39.400000,40.400000,CricketBowling
video_validation_0000176,42.200000,43.400000,CricketBowling
video_validation_0000176,44.600000,45.700000,CricketBowling
video_validation_0000176,46.900000,47.500000,CricketBowling
video_validation_0000176,49.900000,51.000000,CricketBowling
video_validation_0000176,52.700000,53.400000,CricketBowling
video_validation_0000176,55.000000,56.300000,CricketBowling
video_validation_0000176,57.400000,58.700000,CricketBowling
video_validation_0000176,61.700000,63.000000,CricketBowling
video_validation_0000176,64.900000,65.300000,CricketBowling
video_validation_0000176,68.800000,69.300000,CricketBowling
video_validation_0000176,71.900000,72.900000,CricketBowling
video_validation_0000176,75.100000,76.100000,CricketBowling
video_validation_0000176,78.100000,79.000000,CricketBowling
video_validation_0000176,82.600000,83.600000,CricketBowling
video_validation_0000176,87.500000,88.400000,CricketBowling
video_validation_0000176,90.200000,90.700000,CricketBowling
video_validation_0000176,92.600000,94.100000,CricketBowling
video_validation_0000176,95.200000,96.100000,CricketBowling
video_validation_0000176,98.800000,100.000000,CricketBowling
video_validation_0000176,102.100000,103.300000,CricketBowling
video_validation_0000176,106.400000,107.000000,CricketBowling
video_validation_0000176,110.300000,111.500000,CricketBowling
video_validation_0000176,112.500000,113.200000,CricketBowling
video_validation_0000176,116.900000,118.300000,CricketBowling
video_validation_0000176,120.400000,121.300000,CricketBowling
video_validation_0000176,123.500000,124.200000,CricketBowling
video_validation_0000176,126.300000,127.000000,CricketBowling
video_validation_0000176,129.700000,130.700000,CricketBowling
video_validation_0000982,5.800000,6.200000,VolleyballSpiking
video_validation_0000982,16.300000,18.200000,VolleyballSpiking
video_validation_0000937,4.500000,4.800000,TennisSwing
video_validation_0000937,8.300000,9.300000,TennisSwing
video_validation_0000937,11.400000,12.600000,TennisSwing
video_validation_0000937,13.600000,15.300000,TennisSwing
video_validation_0000937,15.900000,17.200000,TennisSwing
video_validation_0000937,22.600000,24.100000,TennisSwing
video_validation_0000937,39.700000,40.800000,TennisSwing
video_validation_0000937,41.500000,42.300000,TennisSwing
video_validation_0000937,44.000000,45.000000,TennisSwing
video_validation_0000178,11.900000,15.000000,CricketBowling
video_validation_0000178,34.800000,48.000000,CricketBowling
video_validation_0000178,62.700000,67.900000,CricketBowling
video_validation_0000178,71.600000,80.300000,CricketBowling
video_validation_0000178,82.800000,86.000000,CricketBowling
video_validation_0000178,86.800000,91.000000,CricketBowling
video_validation_0000178,96.000000,97.700000,CricketBowling
video_validation_0000283,0.000000,2.300000,GolfSwing
video_validation_0000283,11.100000,61.300000,GolfSwing
video_validation_0000366,0.400000,2.800000,HighJump
video_validation_0000366,4.900000,14.400000,HighJump
video_validation_0000367,85.200000,90.900000,HighJump
video_validation_0000367,92.800000,97.600000,HighJump
video_validation_0000367,98.300000,102.400000,HighJump
video_validation_0000367,104.700000,112.300000,HighJump
video_validation_0000367,116.200000,123.600000,HighJump
video_validation_0000289,3.000000,25.900000,GolfSwing
video_validation_0000289,32.800000,123.300000,GolfSwing
video_validation_0000179,8.700000,11.100000,CricketBowling
video_validation_0000179,38.600000,39.800000,CricketBowling
video_validation_0000179,62.300000,63.500000,CricketBowling
video_validation_0000179,73.200000,75.400000,CricketBowling
video_validation_0000179,88.800000,89.600000,CricketBowling
video_validation_0000179,91.400000,92.900000,CricketBowling
video_validation_0000179,100.200000,101.600000,CricketBowling
video_validation_0000179,105.400000,107.200000,CricketBowling
video_validation_0000179,116.200000,117.000000,CricketBowling
video_validation_0000179,119.900000,120.600000,CricketBowling
video_validation_0000179,145.000000,145.700000,CricketBowling
video_validation_0000179,170.400000,171.400000,CricketBowling
video_validation_0000981,4.300000,7.000000,VolleyballSpiking
video_validation_0000981,7.500000,9.100000,VolleyballSpiking
video_validation_0000981,12.500000,14.200000,VolleyballSpiking
video_validation_0000981,22.200000,23.200000,VolleyballSpiking
video_validation_0000981,37.600000,38.900000,VolleyballSpiking
video_validation_0000981,45.100000,46.500000,VolleyballSpiking
video_validation_0000981,54.900000,57.000000,VolleyballSpiking
video_validation_0000981,62.300000,63.800000,VolleyballSpiking
video_validation_0000981,69.700000,73.600000,VolleyballSpiking
video_validation_0000981,75.100000,76.400000,VolleyballSpiking
video_validation_0000981,77.700000,80.600000,VolleyballSpiking
video_validation_0000981,84.500000,85.600000,VolleyballSpiking
video_validation_0000981,88.600000,90.100000,VolleyballSpiking
video_validation_0000981,91.700000,92.300000,VolleyballSpiking
video_validation_0000981,92.400000,92.800000,VolleyballSpiking
video_validation_0000981,94.400000,95.400000,VolleyballSpiking
video_validation_0000981,103.600000,104.900000,VolleyballSpiking
video_validation_0000981,110.700000,111.100000,VolleyballSpiking
video_validation_0000981,115.200000,116.400000,VolleyballSpiking
video_validation_0000981,90.800000,91.300000,VolleyballSpiking
video_validation_0000363,21.900000,27.500000,HighJump
video_validation_0000363,28.200000,33.200000,HighJump
video_validation_0000363,46.300000,51.600000,HighJump
video_validation_0000363,52.300000,56.700000,HighJump
video_validation_0000363,58.200000,62.100000,HighJump
video_validation_0000363,62.600000,68.200000,HighJump
video_validation_0000363,79.400000,85.300000,HighJump
video_validation_0000363,101.300000,106.600000,HighJump
video_validation_0000363,114.300000,118.300000,HighJump
video_validation_0000363,118.800000,123.600000,HighJump
video_validation_0000363,131.800000,136.900000,HighJump
video_validation_0000363,137.900000,140.000000,HighJump
video_validation_0000363,147.200000,153.100000,HighJump
video_validation_0000363,156.100000,158.800000,HighJump
video_validation_0000363,178.600000,186.900000,HighJump
video_validation_0000363,201.100000,206.400000,HighJump
video_validation_0000363,206.700000,209.800000,HighJump
video_validation_0000363,213.800000,219.200000,HighJump
video_validation_0000363,235.300000,241.000000,HighJump
video_validation_0000363,253.400000,256.500000,HighJump
video_validation_0000363,274.500000,279.400000,HighJump
